Z_slice,Number_of_neurons,GlyT2_mean,GlyT2_median,GlyT2_total,Gephyrin_mean,Gephyrin_median,Gephyrin_total
262,120,5.708,0.0,685,8.45,0.0,1014
263,144,5.0,0.0,720,6.604,0.0,951
264,132,3.212,0.0,424,5.053,0.0,667
265,143,5.748,0.0,822,6.545,0.0,936
266,162,4.105,0.0,665,3.988,0.0,646
267,169,4.26,0.0,720,4.71,0.0,796
268,174,6.793,0.0,1182,5.489,0.0,955
269,198,4.348,0.0,861,5.288,0.0,1047
270,172,3.913,0.0,673,3.866,0.0,665
271,158,5.165,0.0,816,5.544,0.0,876
272,169,3.391,0.0,573,4.178,0.0,706
273,163,8.043,0.0,1311,6.393,0.0,1042
274,157,10.019,0.0,1573,8.204,0.0,1288
275,145,14.014,0.0,2032,7.993,0.0,1159
276,147,17.272,0.0,2539,10.088,0.0,1483
277,146,13.959,0.0,2038,7.603,0.0,1110
278,148,20.128,0.0,2979,10.473,0.0,1550
279,144,17.417,0.0,2508,11.806,0.0,1700
280,142,14.563,0.0,2068,9.908,0.0,1407
281,133,9.143,0.0,1216,7.474,0.0,994
282,126,16.873,0.0,2126,9.627,0.0,1213
283,144,11.507,0.0,1657,11.215,0.0,1615
284,157,11.522,0.0,1809,7.688,0.0,1207
285,153,8.804,0.0,1347,9.033,0.0,1382
286,128,22.039,0.0,2821,10.188,0.0,1304
287,131,14.489,0.0,1898,10.74,0.0,1407
288,140,8.043,0.0,1126,7.664,0.0,1073
289,152,12.355,0.0,1878,6.941,0.0,1055
290,125,12.816,0.0,1602,11.64,0.0,1455
291,137,6.504,0.0,891,11.839,0.0,1622
292,161,12.199,0.0,1964,10.435,0.0,1680
293,144,9.333,0.0,1344,9.229,0.0,1329
294,135,14.563,0.0,1966,10.622,0.0,1434
295,157,10.293,0.0,1616,8.357,0.0,1312
296,144,5.875,0.0,846,7.208,0.0,1038
297,157,10.58,0.0,1661,6.688,0.0,1050
298,155,11.594,0.0,1797,6.265,0.0,971
299,153,11.007,0.0,1684,6.758,0.0,1034
300,158,16.266,0.0,2570,7.272,0.0,1149
301,148,8.041,0.0,1190,7.209,0.0,1067
302,164,9.0,0.0,1476,6.244,0.0,1024
303,148,10.5,0.0,1554,8.068,0.0,1194
304,126,9.905,0.0,1248,7.071,0.0,891
305,131,9.244,0.0,1211,8.939,0.0,1171
306,129,6.155,0.0,794,8.605,0.0,1110
307,136,10.39,0.0,1413,9.206,0.0,1252
308,130,14.323,0.0,1862,7.854,0.0,1021
309,152,10.809,0.0,1643,7.809,0.0,1187
310,155,9.955,0.0,1543,7.187,0.0,1114
311,145,11.338,0.0,1644,7.655,0.0,1110
312,172,16.924,0.0,2911,9.721,0.0,1672
313,164,13.043,0.0,2139,7.11,0.0,1166
314,153,6.49,0.0,993,5.562,0.0,851
315,149,16.349,0.0,2436,8.47,0.0,1262
